"id","class_id","instructor","section_id","section_type","meeting_time","start_time","end_time","location","course_id","day"
4774,82433,"Linton E Powell","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",114,"TBA"
4775,82435,"Linton E Powell","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",115,"TBA"
4776,82437,"Linton E Powell","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",116,"TBA"
4777,82438,"Linton E Powell","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",117,"TBA"
4778,82441,"Jennifer M Ronyak","002                 ","LEC                 ","08/27/2015 - 12/09/2015","10:00:00","10:50:00","FA  258",118,"MoWeFr"
4779,83665,"Graham G Hunt","001                 ","LEC                 ","08/27/2015 - 12/09/2015","12:30:00","13:50:00","FA  309",119,"TuTh"
4780,82442,"George Chave","001                 ","LEC                 ","08/27/2015 - 12/09/2015","11:00:00","11:50:00","FA  303",120,"MoWeFr"
4781,82443,"Douglas Stotter","001                 ","LEC                 ","08/27/2015 - 12/09/2015","09:30:00","10:50:00","FA  115",121,"TuTh"
4782,82444,"Clifton J Evans","002                 ","LEC                 ","08/27/2015 - 12/09/2015","09:30:00","10:50:00","FA  106",121,"TuTh"
4783,84715,"John Wayman","001                 ","LEC                 ","08/27/2015 - 12/09/2015","09:30:00","10:50:00","FA  311",122,"TuTh"
4784,82445,"Jing Ling Tam","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",123,"TBA"
4785,82446,"Soo Hong Kim","002                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",123,"TBA"
4786,82447,"David C Grogan","003                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",123,"TBA"
4787,82448,"Ronald B Montgomery","004                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",123,"TBA"
4788,84460,"Jennifer O Ciobanu","005                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",123,"TBA"
4789,82449,"Jing Ling Tam","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",124,"TBA"
4790,82450,"Soo Hong Kim","002                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",124,"TBA"
4791,82451,"David C Grogan","003                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",124,"TBA"
4792,82452,"Ronald B Montgomery","004                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",124,"TBA"
4793,84722,"Jennifer O Ciobanu","005                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",124,"TBA"
4794,82453,"John Solomons","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",125,"TBA"
4795,82454,"Young-Hyun Cho","002                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",125,"TBA"
4796,82455,"John Solomons","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",126,"TBA"
4797,82456,"Young-Hyun Cho","002                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",126,"TBA"
4798,82457,"Martha Walvoord","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",127,"TBA"
4799,82458,"Cathy Forbes","002                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",127,"TBA"
4800,82459,"Keira Fullerton","003                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",127,"TBA"
4801,82460,"Jack A Unzicker","004                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",127,"TBA"
4802,82461,"Sergio Espinosa","005                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",127,"TBA"
4803,82462,"Martha Walvoord","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",128,"TBA"
